id,code,name,keph_level,facility_type,owner,regulatory_body,beds,cots,county,constituency,sub_county,ward,operation_status,open_whole_day,open_public_holidays,open_weekends,open_late_night,approved,public_visible,closed
2,22977,Fairview Medical Centre,Level 2,Secondary care hospitals,Private Practice - Unspecified,Nursing Council of Kenya (Private Practice),4,0,NAIROBI,EMBAKASI CENTRAL,embakasi central,KAYOLE SOUTH,Operational,No,No,Yes,No,Yes,Yes,No
3,22976,RADIANT GROUP OF HOSPITALS-UMOJA,Level 3,Secondary care hospitals,Private Practice - Unspecified,Kenya MPDB - Private Practice,34,0,NAIROBI,EMBAKASI WEST,embakasi west,UMOJA II,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
5,22967,Vital Solutions Health Centre,Level 3,Basic primary health care facility,Non-Governmental Organizations,Nursing Council of Kenya (Private Practice),3,0,NAROK,NAROK WEST,narok west,SIANA,Operational,No,No,No,No,Yes,Yes,No
7,22963,Ankara Medical Centre,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,4,0,GARISSA,GARISSA TOWNSHIP,garissa,WABERI,Operational,No,No,No,No,Yes,Yes,No
9,22948,Nazareth Medical Services-Githurai,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,NAIROBI,ROYSAMBU,roysambu,GITHURAI,Operational,No,Yes,Yes,Yes,Yes,Yes,No
10,22946,Penda Medical Care-Kahawa West,Level 2,Basic primary health care facility,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,NAIROBI,ROYSAMBU,roysambu,KAHAWA WEST,Operational,No,Yes,Yes,No,Yes,Yes,No
15,22918,Itoleka Smartext Medical Services,Level 2,Dispensaries and clinic-out patient only,Private Practice - Clinical Officer,Kenya MPDB - Private Practice,0,0,KITUI,KITUI CENTRAL,kitui central,KYANGWITHYA WEST,Operational,No,Yes,Yes,No,Yes,Yes,No
16,22916,Africare Limited Embakasi Clinic,Level 2,Basic primary health care facility,Private Enterprise (Institution),Kenya MPDB - Private Practice,4,1,NAIROBI,EMBAKASI SOUTH,embakasi south,IMARA DAIMA,Operational,No,Yes,Yes,No,Yes,Yes,No
17,22915,AVENUE HEALTHCARE GREENSPAN,Level 3,Basic primary health care facility,Private Enterprise (Institution),Kenya MPDB - Private Practice,5,2,NAIROBI,EMBAKASI EAST,embakasi east,UPPER SAVANNAH,Operational,No,Yes,Yes,No,Yes,Yes,No
19,22910,Musuani Mdc,Level 2,Dispensaries and clinic-out patient only,Private Practice - General Practitioner,Kenya MPDB - Private Practice,0,0,KITUI,MWINGI WEST,mwingi west,KYOME/THAANA,Operational,No,No,No,No,Yes,Yes,No
